customer_id,prev_transaction_id,curr_transaction_id,prev_timestamp,curr_timestamp,hours_between,distance_km,implied_speed_kmh,prev_rail,curr_rail,prev_amount_brl,curr_amount_brl,prev_geo_country,curr_geo_country,prev_ip_country,curr_ip_country,prev_country_risk_geo,curr_country_risk_geo,prev_country_risk_ip,curr_country_risk_ip,prev_ip_anomaly,curr_ip_anomaly,prev_ip_proxy_vpn_tor,curr_ip_proxy_vpn_tor,prev_device_rooted,curr_device_rooted,prev_cross_border,curr_cross_border,risk_flags,severity,priority_candidate,rule_id,rule_name
C100162,TE9E9J7L79G4F,TPDS7PCZBZW6R,2025-08-12 05:01:28,2025-08-12 14:37:00,9.592,18241.8,1901.7,PIX,PIX,2460.54,5251.4,BR,KP,BR,BR,Low,High,Low,Low,No,No,None,None,No,No,No,Yes,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100424,TBT3OS2AAAA60,T9PH08OQJVLF3,2025-08-29 21:06:20,2025-08-30 06:59:14,9.882,18106.1,1832.3,PIX,Card,3664.14,780.85,BR,KP,BR,BR,Low,High,Low,Low,No,No,None,None,No,No,No,Yes,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100509,T8JCIYDAUHJGM,TNO0GV8O1L2XE,2025-09-06 07:30:26,2025-09-06 10:31:58,3.026,18053.1,5966.9,PIX,Card,1187.89,4496.2,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C102181,TJNBKQPB04Y1N,TIM5VVV42P958,2025-08-25 19:38:59,2025-08-25 19:45:25,0.107,17997.3,167850.5,PIX,PIX,2244.58,5066.26,BR,CN,BR,BR,Low,Low,Low,Low,No,No,None,None,No,No,No,Yes,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101102,T0BNFCXNK3QB9,TATQ6QF650BIL,2025-09-05 18:12:40,2025-09-05 18:19:42,0.117,17992.3,153488.8,PIX,PIX,7092.83,2094.25,BR,KP,BR,BR,Low,High,Low,Low,No,No,None,None,No,No,No,Yes,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C102151,TGE7YLQIBLP0F,T4CPVBWTZ2JBZ,2025-07-31 17:25:25,2025-08-01 01:13:16,7.798,17947.1,2301.6,PIX,PIX,1933.34,40080.52,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101028,TFNO8A1FBZUMA,T4ZAVV478VX1Q,2025-07-01 08:48:15,2025-07-01 12:27:12,3.649,17942.8,4917.0,Card,PIX,4390.02,10557.78,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C102436,TSKLJVQ36MVVW,TTMGLV4N7JNXI,2025-07-26 18:03:11,2025-07-26 20:40:06,2.615,17784.7,6800.3,Card,Card,1333.4,10079.88,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101706,TDHKT2X1LKIPG,TBGN1ZHARKDF5,2025-10-04 03:55:40,2025-10-04 07:35:59,3.672,17783.6,4843.1,PIX,PIX,4094.65,4113.08,BR,MM,BR,BR,Low,High,Low,Low,No,No,None,None,No,No,No,Yes,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101952,T4MUH7VLIPOFC,T8WDHK89FRIGD,2025-09-11 19:58:26,2025-09-11 21:26:37,1.47,17712.6,12051.7,Card,PIX,2132.69,986.25,CN,BR,BR,BR,Low,Low,Low,Low,No,No,None,None,No,No,Yes,No,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C102170,TCS0B56UYGD39,T59JIUS7DZOPP,2025-08-25 22:40:49,2025-08-26 06:24:59,7.736,17631.0,2279.0,PIX,Card,7977.84,452.56,CN,BR,BR,BR,Low,Low,Low,Low,No,No,VPN,None,No,No,Yes,No,proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101006,T92R0ISZ652WH,TPRL8FSNJODU4,2025-08-05 02:54:09,2025-08-05 07:43:39,4.825,17621.8,3652.2,PIX,PIX,4800.24,874.75,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101892,TOJS8J2HFD1UV,T1041HP33NSR4,2025-07-22 07:38:15,2025-07-22 12:39:46,5.025,17550.4,3492.4,Card,PIX,2042.52,460.16,BR,MM,BR,BR,Low,High,Low,Low,No,No,VPN,None,No,No,No,Yes,geo_country_high_risk;proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100162,TPDS7PCZBZW6R,TO8N0XF3TDR06,2025-08-12 14:37:00,2025-08-13 02:00:15,11.387,17493.1,1536.2,PIX,Card,5251.4,11294.8,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,Proxy,No,No,Yes,No,geo_country_high_risk;proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100779,TKC6YN1R1OASJ,T8LKB781YUFFB,2025-08-01 12:52:18,2025-08-01 23:36:17,10.733,17377.3,1619.0,PIX,Card,271.71,3154.99,KP,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101262,TI41HOON83H4L,T9IR63QVJVXKC,2025-07-20 20:15:14,2025-07-21 04:04:32,7.822,17223.7,2202.1,PIX,Card,503.6,7583.04,MM,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100797,TIEQFPF54E70U,TXC9U4WPU5V1W,2025-09-09 13:34:29,2025-09-09 14:37:36,1.052,17092.0,16248.0,Card,PIX,1553.87,3693.19,BR,CN,BR,BR,Low,Low,Low,Low,No,No,None,None,No,No,No,Yes,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C102300,TDHKHVW0UC6C7,TR34G9HT8H6C0,2025-08-21 13:38:17,2025-08-21 15:26:35,1.805,17039.5,9440.1,Card,PIX,8331.69,2204.08,BR,CN,BR,PT,Low,Low,Low,Low,No,No,None,None,No,No,No,Yes,cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C100579,THLGHD1C3ZUGS,TCCC0GOBGGU88,2025-09-01 15:44:48,2025-09-01 19:44:34,3.996,17029.8,4261.6,Card,Wire,2143.19,2674.36,MM,BR,BR,BR,High,Low,Low,Low,No,No,None,None,No,No,Yes,No,geo_country_high_risk;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
C101034,TMFM222PFCMN5,TCOFMBC9YL9M7,2025-09-17 06:33:08,2025-09-17 18:05:11,11.534,16988.1,1472.8,Card,Card,4940.8,1697.77,BR,CN,BR,BR,Low,Low,Low,Low,No,No,None,Proxy,No,No,No,Yes,proxy_vpn_tor;cross_border;geo_country_change,Alta,Yes,R17,Geo-salto físico improvável
