rule_a_id,rule_a_name,rule_b_id,rule_b_name,level,hits_a,hits_b,both_hits,union_hits,jaccard,overlap_coefficient,p_a_given_b,p_b_given_a,high_jaccard_candidate,high_overlap_candidate,a_empirically_contained_in_b,b_empirically_contained_in_a,review_required
M04,M04_cashin_to_cashout_pass_through_proxy,M08,M08_pep_high_volume,customer_month,2231,48,27,2252,0.0119893428064,0.5625,0.5625,0.0121021963245,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M09,M09_high_risk_mcc_repeated,customer_month,2231,411,220,2422,0.0908340214699,0.535279805353,0.535279805353,0.0986104885701,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M10,M10_ecommerce_no3ds_repeated,customer_month,2231,78,38,2271,0.0167327168648,0.487179487179,0.487179487179,0.017032720753,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M11,M11_device_ip_risk_repeated,customer_month,2231,139,84,2286,0.0367454068241,0.604316546763,0.604316546763,0.0376512774541,False,False,False,False,False
M04,M04_cashin_to_cashout_pass_through_proxy,M12,M12_self_merchant_any,customer_month,2231,3,1,2233,0.000447828034035,0.333333333333,0.333333333333,0.000448229493501,False,False,False,False,False
M05,M05_crossborder_concentration,M06,M06_high_risk_country_repeated,customer_month,814,18,10,822,0.0121654501217,0.555555555556,0.555555555556,0.012285012285,False,False,False,False,False
M05,M05_crossborder_concentration,M07,M07_sanctions_any_period,customer_month,814,36,5,845,0.00591715976331,0.138888888889,0.138888888889,0.00614250614251,False,False,False,False,False
M05,M05_crossborder_concentration,M08,M08_pep_high_volume,customer_month,814,48,9,853,0.010550996483,0.1875,0.1875,0.0110565110565,False,False,False,False,False
M05,M05_crossborder_concentration,M09,M09_high_risk_mcc_repeated,customer_month,814,411,85,1140,0.0745614035088,0.206812652068,0.206812652068,0.104422604423,False,False,False,False,False
M05,M05_crossborder_concentration,M10,M10_ecommerce_no3ds_repeated,customer_month,814,78,9,883,0.0101925254813,0.115384615385,0.115384615385,0.0110565110565,False,False,False,False,False
M05,M05_crossborder_concentration,M11,M11_device_ip_risk_repeated,customer_month,814,139,16,937,0.017075773746,0.115107913669,0.115107913669,0.019656019656,False,False,False,False,False
M05,M05_crossborder_concentration,M12,M12_self_merchant_any,customer_month,814,3,0,817,0,0,0,0,False,False,False,False,False
M06,M06_high_risk_country_repeated,M07,M07_sanctions_any_period,customer_month,18,36,0,54,0,0,0,0,False,False,False,False,False
M06,M06_high_risk_country_repeated,M08,M08_pep_high_volume,customer_month,18,48,0,66,0,0,0,0,False,False,False,False,False
M06,M06_high_risk_country_repeated,M09,M09_high_risk_mcc_repeated,customer_month,18,411,2,427,0.00468384074941,0.111111111111,0.00486618004866,0.111111111111,False,False,False,False,False
M06,M06_high_risk_country_repeated,M10,M10_ecommerce_no3ds_repeated,customer_month,18,78,0,96,0,0,0,0,False,False,False,False,False
M06,M06_high_risk_country_repeated,M11,M11_device_ip_risk_repeated,customer_month,18,139,1,156,0.00641025641026,0.0555555555556,0.00719424460432,0.0555555555556,False,False,False,False,False
M06,M06_high_risk_country_repeated,M12,M12_self_merchant_any,customer_month,18,3,0,21,0,0,0,0,False,False,False,False,False
M07,M07_sanctions_any_period,M08,M08_pep_high_volume,customer_month,36,48,1,83,0.0120481927711,0.0277777777778,0.0208333333333,0.0277777777778,False,False,False,False,False
M07,M07_sanctions_any_period,M09,M09_high_risk_mcc_repeated,customer_month,36,411,2,445,0.00449438202247,0.0555555555556,0.00486618004866,0.0555555555556,False,False,False,False,False
M07,M07_sanctions_any_period,M10,M10_ecommerce_no3ds_repeated,customer_month,36,78,0,114,0,0,0,0,False,False,False,False,False
M07,M07_sanctions_any_period,M11,M11_device_ip_risk_repeated,customer_month,36,139,0,175,0,0,0,0,False,False,False,False,False
M07,M07_sanctions_any_period,M12,M12_self_merchant_any,customer_month,36,3,0,39,0,0,0,0,False,False,False,False,False
M08,M08_pep_high_volume,M09,M09_high_risk_mcc_repeated,customer_month,48,411,6,453,0.0132450331126,0.125,0.014598540146,0.125,False,False,False,False,False
M08,M08_pep_high_volume,M10,M10_ecommerce_no3ds_repeated,customer_month,48,78,0,126,0,0,0,0,False,False,False,False,False
M08,M08_pep_high_volume,M11,M11_device_ip_risk_repeated,customer_month,48,139,2,185,0.0108108108108,0.0416666666667,0.0143884892086,0.0416666666667,False,False,False,False,False
M08,M08_pep_high_volume,M12,M12_self_merchant_any,customer_month,48,3,0,51,0,0,0,0,False,False,False,False,False
M09,M09_high_risk_mcc_repeated,M10,M10_ecommerce_no3ds_repeated,customer_month,411,78,2,487,0.0041067761807,0.025641025641,0.025641025641,0.00486618004866,False,False,False,False,False
M09,M09_high_risk_mcc_repeated,M11,M11_device_ip_risk_repeated,customer_month,411,139,23,527,0.0436432637571,0.165467625899,0.165467625899,0.0559610705596,False,False,False,False,False
M09,M09_high_risk_mcc_repeated,M12,M12_self_merchant_any,customer_month,411,3,1,413,0.00242130750605,0.333333333333,0.333333333333,0.00243309002433,False,False,False,False,False
M10,M10_ecommerce_no3ds_repeated,M11,M11_device_ip_risk_repeated,customer_month,78,139,5,212,0.0235849056604,0.0641025641026,0.0359712230216,0.0641025641026,False,False,False,False,False
M10,M10_ecommerce_no3ds_repeated,M12,M12_self_merchant_any,customer_month,78,3,0,81,0,0,0,0,False,False,False,False,False
M11,M11_device_ip_risk_repeated,M12,M12_self_merchant_any,customer_month,139,3,0,142,0,0,0,0,False,False,False,False,False
