sender_id,month,tx_count,pix_cashout_count,pix_cashin_count,total_amount,avg_amount,max_amount,unique_receivers,round_100,ip_anom_count,vpn_count,rooted_count,sanctions_tx_count,cross_border_count,card_no3ds_count,high_country_count,customer_id,annual_income_brl,risk_rating,pep,sanctions_list_hit,declared_occupation,kyc_risk_score,amount_annual_income_ratio,flag_out_of_profile,flag_velocity_round,flag_sanctions_or_pep,flag_ip_device,flag_cross_border,flag_card_no3ds,flag_high_country,rule_like_flags_count
C101775,2025-08,8,3,0,66872.08,8359.01,41577.9,8,0,0,0,0,0,3,2,1,C101775,32145,Low,Yes,No,Nurse,55,2.080326022709597,True,False,True,False,True,False,True,4
C101933,2025-08,12,9,0,66766.42,5563.868333333333,34850.17,12,0,0,0,2,0,1,1,1,C101933,7427,Low,No,No,Software Engineer,75,8.989688972667295,True,False,False,True,True,False,True,4
C101166,2025-08,7,6,0,65386.979999999996,9340.997142857143,33909.17,7,0,0,0,1,0,1,0,0,C101166,10815,High,Yes,No,Software Engineer,33,6.0459528432732315,True,False,True,True,True,False,False,4
C102299,2025-08,11,3,0,64848.9,5895.354545454546,13712.18,11,0,0,0,1,0,1,4,0,C102299,32361,Low,No,No,Trader,43,2.003921386854547,True,False,False,True,True,True,False,4
C101979,2025-09,9,7,0,63532.57,7059.174444444445,18465.03,9,0,0,0,1,0,2,0,1,C101979,8506,Low,No,No,Chef,47,7.469147660474959,True,False,False,True,True,False,True,4
C100940,2025-07,10,6,0,59760.17,5976.017,33273.09,10,0,0,0,1,0,4,1,2,C100940,5364,Low,No,No,Lawyer,81,11.140971290082028,True,False,False,True,True,False,True,4
C101352,2025-07,10,6,0,58742.96000000001,5874.296,10422.95,10,0,0,0,1,0,2,0,1,C101352,11466,Low,No,No,Student,48,5.123230420373278,True,False,False,True,True,False,True,4
C100677,2025-07,7,5,0,58387.71,8341.101428571428,22233.07,7,0,0,0,0,0,1,1,1,C100677,8629,Low,Yes,No,Lawyer,73,6.7664515007532735,True,False,True,False,True,False,True,4
C101339,2025-07,12,6,0,57970.89,4830.9075,20864.52,12,0,0,0,2,0,2,3,0,C101339,8773,Low,No,No,Store Owner,43,6.607875299213496,True,False,False,True,True,True,False,4
C101783,2025-08,10,6,0,56938.65,5693.865,23529.5,10,0,0,0,1,0,2,2,1,C101783,17006,Low,No,No,Lawyer,3,3.348150652710808,True,False,False,True,True,False,True,4
C101901,2025-07,7,5,0,56323.31,8046.187142857142,15264.51,7,0,0,0,1,0,1,0,1,C101901,12038,Low,No,No,Accountant,60,4.678792988868582,True,False,False,True,True,False,True,4
C101299,2025-07,11,3,0,56105.979999999996,5100.543636363636,27393.61,11,0,0,0,0,0,3,3,1,C101299,17383,Medium,No,No,Consultant,58,3.227635045734338,True,False,False,False,True,True,True,4
C100967,2025-07,9,4,0,55565.37,6173.93,22193.96,9,0,0,0,0,0,2,2,1,C100967,14513,Low,Yes,No,Student,79,3.8286618893405913,True,False,True,False,True,False,True,4
C100634,2025-09,9,4,0,53323.1,5924.788888888888,25798.18,9,0,0,0,1,0,2,2,0,C100634,25219,Low,Yes,No,Dentist,64,2.1144018398826283,True,False,True,True,True,False,False,4
C100463,2025-08,6,3,0,53165.09,8860.848333333333,13961.9,6,0,0,0,1,0,1,1,0,C100463,18234,Medium,Yes,No,Entrepreneur,60,2.9157118569704945,True,False,True,True,True,False,False,4
C101028,2025-07,11,5,0,52666.82,4787.892727272727,14373.91,11,0,0,0,1,0,2,2,1,C101028,47312,Low,Yes,Yes,Designer,64,1.1131810111599594,False,False,True,True,True,False,True,4
C100228,2025-09,11,8,0,52651.850000000006,4786.531818181818,10426.63,11,0,0,0,2,0,4,1,0,C100228,10383,Low,Yes,No,Chef,62,5.070966965231629,True,False,True,True,True,False,False,4
